ik14,canon_smiles,cmax_mg_L,dose_mg,n_records,n_sources,cmax_per_dose,log_cmax_per_dose
HTQMVQVXFRQIKW,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,0.24169802039999996,32.0,9,1,0.007553063137499999,-2.1218768849369853
HUNGUWOZPQBXGX,O=C(Cc1ccc(-c2ccc(OCCN3CCOCC3)cc2)cn1)NCc1ccccc1,0.2180010618,50.0,5,1,0.004360021236,-2.3605113954435337
HUPFGZXOMWLGNK,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,50.04,250.0,1,1,0.20016,-0.6986227076506553
HXMCZSICOWSBRX,CN(C)c1cc(CNCC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O.Cl,0.7458484,300.0,1,1,0.0024861613333333333,-2.604470692306209
IBGXKVPJPLLVKU,CNC(=O)[C@@H](c1ccccc1)N1CCc2cc(O)c(OC)cc2[C@@H]1CCc1ccc(C(F)(F)F)cc1,0.025700252499999996,200.0,1,1,0.00012850126249999998,-3.8910926054526094
IDIIJJHBXUESQI,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12.Cl,4.5814586859999995,400.0,18,1,0.011453646714999998,-1.9410562167257686
IDYZIJYBMGIQMJ,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,3.700000304,600.0,1,1,0.006166667173333334,-2.2099494906340764
IEDVJHCEMCRBQM,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,2.2999992328,160.0,1,1,0.014374995205,-1.8423922915038893
IGTYILLPRJOVFY,CC(=O)Nc1ccc(OS(=O)(=O)O)cc1,4.9999995927,20.0,1,1,0.249999979635,-0.6020600267055923
IHIWYQYVBNODSV,CC(C)OC(=O)N[C@H]1Cc2c(n(Cc3ccccn3)c3ccc(C#N)cc23)C1,0.0914981584,15.0,1,1,0.006099877226666666,-2.214678906024934
IHIWYQYVBNODSV,CC(C)OC(=O)N[C@H]1Cc2c(n(Cc3ccccn3)c3ccc([14C]#N)cc23)C1,0.179957142,15.0,1,1,0.011997142799999999,-1.9209221717808975
IHSGHTLNHSMKII,COc1cc2nc(N3CCCN(C(=O)N4CCOCC4)CC3)cc(N)c2c(-c2ccc(F)cc2)c1OC,0.06299937539999999,0.86,1,1,0.07325508767441859,-1.135162207530908
IMAMTECZRBMXGW,Nc1nc(O)c2ncn(CC3(OCP(=O)(O)O)CC3)c2n1,0.0349999869,90.0,4,1,0.00038888874333333336,-3.4101746276393
IMIUKXZVUAUOBR,CC(=O)N1CCN([C@H]2CCN(C(=O)N(C)[C@H](C)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@@H](c3ccc(F)cc3C)C2)CC1O,0.1900010908,125.0,4,1,0.0015200087264,-2.8181539187549065
IOOWNWLVCOUUEX,O=C(O)C[C@@H]1CC[C@H](NC(=O)Cc2cccs2)B(O)O1,21.9999989738,1000.0,1,1,0.0219999989738,-1.6575773394356579
IPEHBUMCGVEMRF,NC(=O)c1cnccn1,45.74999970125,1000.0,8,4,0.045749999701249995,-1.3396089044334998
IQFYYKKMVGJFEH,Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,2.7999995498,400.0,7,2,0.0069999988745,-2.1549020298140973
IRLWJILLXJGJTD,COc1ccc(OC(=O)N(CC(=O)O)Cc2ccc(OCCc3nc(-c4ccccc4)oc3C)cc2)cc1,1.4000002994999998,10.0,1,1,0.14000002995,-0.8538718714137739
