canonical_smiles,name,log_vdss,ik14
O=P1(N(CCCl)CCCl)NCCCO1,Cyclophosphamide,-0.146128035678238,CMSMOCZEIVJLDB
COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,Naproxen,-0.7958800173440752,CMWTZPSULFXXJA
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,Benzydamine,-0.8450980400142568,CNBGNNVCVSKAQZ
CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O,Tirofiban,-0.22184874961635637,COKMIXFXJJXBQG
COc1ccc(CC(C)(C)NC[C@H](O)c2cc(O)cc3c2OCC(=O)N3)cc1,Olodaterol,1.2002249387724007,COUYJEVMBVSIHV
O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2,Palonosetron,0.919078092376074,CPZBLNMUGSZIPR
O=C(NN1C(=O)[C@@H]2[C@@H]3C=C[C@@H]([C@H]4C[C@@H]34)[C@@H]2C1=O)c1ccc(C(F)(F)F)cc1,Tecovirimat,0.7381007339543659,CSKDFZIMJXRJGH
COc1cc2c(cc1OC)-c1c/c(=N\c3c(C)cc(C)cc3C)n(CCNC(N)=O)c(=O)n1CC2,Ensifentrine,1.5862657241447304,CSOBIBXVIYAXFM
NC(=O)N1c2ccccc2CC(=O)c2ccccc21,Oxcarbazepine,-0.15490195998574322,CTRLABGOLIVAIY
C=CC(=O)N(C)CCOc1c(N)ncnc1-c1cc(F)cc(NC(=O)c2ccc(C3CC3)cc2F)c1C,Remibrutinib,1.2476226046698424,CUABMPOJOBCXJI
Cc1cccc([C@H](C)c2c[nH]cn2)c1C,Dexmedetomidine,0.22678396729186856,CUHVIMMYOGQXCV
Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,Pazopanib,-0.7997750612275994,CUIHSIWYWATEQL
O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,Benznidazole,-0.25192277653615425,CULUWZNBISUWAS
CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,Dicyclomine,0.5622928644564748,CURUTKGFNZGFSE
Cc1nc(COP(=O)(O)O)cc(CN(CCN(CC(=O)[O-])Cc2cc(COP(=O)(O)O)nc(C)c2O)CC(=O)[O-])c1O.[Mn+2],Mangafodipir,-0.5086383061657274,CXFKOLCMCRBYPL
CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,Clobazam,0.1549019599857432,CXOXHMZGEKVPMT
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12,Chlortetracycline,0.1549019599857432,CYDMQBQPVICBEU
COC(=O)CC[C@@H]1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21,Remimazolam,-0.060480747381381476,CYHWMBVXXDIZNZ
Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,Selumetinib,0.04699656267622358,CYOHGALHFOKKQC
