name,f_pct,raw,smiles
Chloramphenicol,80.0,rapidly and completely absorbed from gastrointestinal tract following oral administration (bioavailability 80%). well ab,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
Meperidine,90.0,the oral bioavailability of meperidine in patients with normal hepatic function is 50-60% due to extensive first-pass me,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
Imipramine,77.0,rapidly and well absorbed (>95%) after oral administration [a31907]. the primary site of absorption is the small intesti,CN(C)CCCN1c2ccccc2CCc2ccccc21
Ketorolac,80.0,"ketorolac is rapidly, and completely absorbed after oral administration with a bioavailability of 80% after oral adminis",O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
Enoxacin,90.0,"rapidly absorbed following oral administration, with an absolute oral bioavailability of approximately 90%.",CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21
Tenoxicam,100.0,oral absorption of tenoxicam is rapid and complete (absolute bioavailability 100%).,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O
Montelukast,64.0,"it has been observed that montelukast is quickly absorbed following administration by the oral route.[l6301,l6304,l6307,",CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1
Fluoxetine,90.0,"the oral bioavailability of fluoxetine is <90% as a result of hepatic first pass metabolism.[l7721]

in a bioequivalen",CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
Methohexital,17.0,the absolute bioavailability following rectal administration of methohexital is 17%.,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O
Duloxetine,50.0,duloxetine is incompletely absorbed with a mean bioavailability of 50% although there is wide variability in the range o,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1
Raloxifene,2.0,"raloxifene is well absorbed from the gastrointestinal tract, with approximately 60% fo the drug being absorbed following",O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
Buspirone,5.0,buspirone is rapidly absorbed following oral administration.[l4478] bioavailability is low and variable (approximately 5,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
Entacapone,35.0,entacapone is rapidly absorbed (approximately 1 hour). the absolute bioavailability following oral administration is 35%,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1
Zidovudine,65.0,"rapid and nearly complete absorption from the gastrointestinal tract following oral administration; however, because of ",Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O
Oxycodone,60.0,"oxycodone has an oral bioavailability of 60% to 87% that is unaffected by food.[label]

the area under the curve is 13",COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314
Cimetidine,60.0,"two peak plasma concentrations are often observed after oral administration of cimetidine, likely as a result of discont",CN/C(=N/C#N)NCCSCc1nc[nH]c1C
Haloperidol,75.0,"haloperidol is a highly lipophilic compound and is extensively metabolized in humans, which may cause a large interindiv",O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
Nitazoxanide,70.0,the relative bioavailability of the suspension compared to the tablet was 70%. when administered with food the auc and c,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1
Acetyldigitoxin,80.0,bioavailability is 60 to 80% following oral administration.,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O
Trandolapril,14.0,~ 40-60% absorbed; extensive first pass metabolism results in a low bioavailability of 4-14%,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21
Foscarnet,22.0,poorly absorbed after oral administration (bioavailability from 12 to 22%).,O=C(O)P(=O)(O)O
Cefdinir,16.0,maximal plasma cefdinir concentration can be attained between 2-4 hours after an ingested dose.[l7330] the bioavailabili,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1
Ciprofloxacin,80.0,a 250mg oral dose of ciprofloxacin reaches an average maximum concentration of 0.94mg/l in 0.81 hours with an average ar,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
Benazepril,3.0,bioavailability of oral dosing is 3% to 4% in horses[a176450]. in humans at least 37% of oral benazepril is absorbed and,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O
Pyridostigmine,20.0,"pyridostigmine administered orally is poorly absorbed in the gi tract, with an oral bioavailability of only 10-20%. howe",CN(C)C(=O)Oc1ccc[n+](C)c1
Lamotrigine,98.0,"lamotrigine is rapidly and entirely absorbed with minimal first-pass metabolism effects, with a bioavailability estimate",Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1
Zanamivir,4.0,"absolute bioavailability is very low following oral administration (2%).  following oral inhalation, bioavailability is ",CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1N=C(N)N
Bosentan,50.0,absolute bioavailability is approximately 50% and food does not affect absorption.,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO
Methotrexate,90.0,"methotrexate has a bioavailability of 64-90%, though this decreases at oral doses above 25mg due to saturation of the ca",CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
Atropine,50.0,"intravenous atropine follows a non-linear pharmacokinetic model at doses between 0.5 and 4 mg.[l42835] 
after intramusc",CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2
Fenfluramine,74.0,fenfluramine has a steady-state t<sub>max</sub> of between four and five hours and an absolute bioavailability of approx,CCNC(C)Cc1cccc(C(F)(F)F)c1
Clonidine,87.0,"clonidine reaches maximum concentration in 60-90 minutes after oral administration.[a180559,a180577] race and fasting st",Clc1cccc(Cl)c1NC1=NCCN1
Carbenicillin,40.0,rapidly absorbed from the small intestine following oral administration. oral bioavailability is 30 to 40%.,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O
Valdecoxib,83.0,oral bioavailability is 83%.,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1
Voriconazole,61.8,the oral bioavailability is estimated to be 96% in healthy adults[l9821]. population pharmacokinetic studies report a re,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
